sampleID,lineage,siteID,spiroplasmgencovepercent,infectiostatus,gender,latitude,longitude
SDS06-010A,ingens,Monarch,97.8822,1,f,36.41429,-118.54783
SDS06-010B,ingens,Monarch,97.195,1,f,36.41429,-118.54783
SDS06-275A,ingens,Monarch,97.4574,1,f,36.41429,-118.54783
SDS06-275B,ingens,Monarch,97.2562,1,m,36.41429,-118.54783
SDS06-275C,ingens,Monarch,97.0688,1,f,36.41429,-118.54783
SDS06-275D,ingens,Monarch,96.3743,1,f,36.41429,-118.54783
SDS06-306A,ingens,Army,98.552,1,m,36.50159,-118.24711
SDS06-306B,ingens,Army,98.567,1,m,36.50159,-118.24711
SDS06-322B,ingens,Army,0.479,0,f,36.50159,-118.24711
SDS06-322C,ingens,Army,98.19,1,m,36.50159,-118.24711
SDS06-322D,ingens,Army,97.3101,1,f,36.50159,-118.24711
SDS06-332A,ingens,Army,98.2051,1,f,36.50159,-118.24711
SDS06-332B,ingens,Army,2.4974,0,f,36.50159,-118.24711
SDS06-332C,ingens,Army,99.0213,1,m,36.50159,-118.24711
SDS06-332D,ingens,Army,98.2191,1,f,36.50159,-118.24711
SDS06-340A,ingens,Army,2.2081,0,f,36.50159,-118.24711
SDS06-340B,ingens,Army,98.384,1,f,36.50159,-118.24711
SDS06-340C,ingens,Army,98.5862,1,m,36.50159,-118.24711
SDS06-340D,ingens,Army,97.0144,1,m,36.50159,-118.24711
SDS06-340E,ingens,Army,97.6108,1,f,36.50159,-118.24711
SDS06-340F,ingens,Army,97.4555,1,f,36.50159,-118.24711
SDS06-340G,ingens,Army,97.2235,1,f,36.50159,-118.24711
SDS06-340H,ingens,Army,97.238,1,f,36.50159,-118.24711
YMW17-112,ingens,Army,2.5717,0,f,36.50159,-118.24711
YMW17-120,ingens,Army,1.4001,0,f,36.50159,-118.24711
YMW17-122,ingens,Army,96.9387,1,m,36.50159,-118.24711
YMW17-124,ingens,Army,4.0496,0,f,36.50159,-118.24711
YMW17-125,ingens,Army,1.3071,0,f,36.50159,-118.24711
YMW17-127,ingens,Army,1.95,0,f,36.50159,-118.24711
YMW17-129,ingens,Army,97.9775,1,f,36.50159,-118.24711
YMW17-130,ingens,Army,1.6821,0,m,36.50159,-118.24711
YMW17-131,ingens,Army,1.6963,0,f,36.50159,-118.24711
YMW17-132,ingens,Army,1.6447,0,m,36.50159,-118.24711
YMW17-134,ingens,Army,1.5248,0,f,36.50159,-118.24711
YMW17-135,ingens,Army,97.0456,1,f,36.50159,-118.24711
YMW17-136,ingens,Army,2.4347,0,f,36.50159,-118.24711
YMW17-137,ingens,Army,96.5863,1,m,36.50159,-118.24711
YMW17-142,ingens,Army,97.8947,1,f,36.50159,-118.24711
YMW17-143,ingens,Army,1.5893,0,f,36.50159,-118.24711
YMW17-144,ingens,Army,4.3594,0,f,36.50159,-118.24711
YMW17-145,ingens,Army,6.0865,0,?,36.50159,-118.24711
SEKI-0744,ingens,Crabtree,95.4951,1,f,36.54445,-118.32363
SEKI-0745,ingens,Crabtree,98.4756,1,f,36.54445,-118.32363
SEKI-0746,ingens,Crabtree,7.3343,0,m,36.54445,-118.32363
SEKI-0747A,ingens,Crabtree,95.7547,1,f,36.54445,-118.32363
SEKI-0747B,ingens,Crabtree,97.5846,1,f,36.54445,-118.32363
SEKI-0747C,ingens,Crabtree,98.0027,1,f,36.54445,-118.32363
SEKI-0747D,ingens,Crabtree,97.7556,1,f,36.54445,-118.32363
SEKI-0747F,ingens,Crabtree,97.3347,1,f,36.54445,-118.32363
SEKI-0747G,ingens,Crabtree,97.8434,1,f,36.54445,-118.32363
SEKI-0747H,ingens,Crabtree,1.9123,0,m,36.54445,-118.32363
SEKI-0747I,ingens,Crabtree,98.2938,1,f,36.54445,-118.32363
SEKI-0747J,ingens,Crabtree,3.1963,0,m,36.54445,-118.32363
SEKI-0747K,ingens,Crabtree,98.6585,1,f,36.54445,-118.32363
SDS06-231A,ingens,Pear,0.4431,0,m,36.59707,-118.6658
SDS06-231B,ingens,Pear,97.1017,1,m,36.59707,-118.6658
SDS06-231C,ingens,Pear,96.3926,1,m,36.59707,-118.6658
SDS06-231D,ingens,Pear,97.5913,1,f,36.59707,-118.6658
SDS06-231E,ingens,Pear,1.228,0,m,36.59707,-118.6658
SDS06-231F,ingens,Pear,0.5732,0,f,36.59707,-118.6658
SDS06-231G,ingens,Pear,97.4795,1,f,36.59707,-118.6658
SDS06-231H,ingens,Pear,97.0856,1,f,36.59707,-118.6658
SDS06-231I,ingens,Pear,97.298,1,f,36.59707,-118.6658
SDS06-231J,ingens,Pear,1.6021,0,f,36.59707,-118.6658
SDS06-231K,ingens,Pear,1.0398,0,m,36.59707,-118.6658
SDS06-231L,ingens,Pear,1.9033,0,f,36.59707,-118.6658
SEKI-0330,ingens,SForester,1.1451,0,m,36.63116,-118.34489
SEKI-0331,ingens,SForester,96.4041,1,m,36.63116,-118.34489
SEKI-0339A,ingens,SForester,0.7606,0,f,36.63116,-118.34489
SEKI-0339B,ingens,SForester,1.6329,0,m,36.63116,-118.34489
SEKI-0339C,ingens,SForester,1.7201,0,f,36.63116,-118.34489
SEKI-0339D,ingens,SForester,0.3146,0,m,36.63116,-118.34489
SEKI-0339E,ingens,SForester,1.6054,0,f,36.63116,-118.34489
SEKI-0339F,ingens,SForester,1.0172,0,f,36.63116,-118.34489
SEKI-0339G,ingens,SForester,1.5116,0,f,36.63116,-118.34489
SEKI-0339H,ingens,SForester,0.761,0,f,36.63116,-118.34489
SEKI-0339I,ingens,SForester,0.9904,0,f,36.63116,-118.34489
SEKI-0339J,ingens,SForester,3.7352,0,m,36.63116,-118.34489
SEKI-0339L,ingens,SForester,97.8537,1,m,36.63116,-118.34489
SEKI-0339M,ingens,SForester,97.4043,1,f,36.63116,-118.34489
SEKI-0339N,ingens,SForester,1.3627,0,f,36.63116,-118.34489
SEKI-0339O,ingens,SForester,83.4758,1,f,36.63116,-118.34489
SEKI-0472A,ingens,Wright,97.7313,1,f,36.63116,-118.34489
SEKI-0472B,ingens,Wright,98.2839,1,f,36.63116,-118.34489
SEKI-0472D,ingens,Wright,96.0944,1,f,36.63116,-118.34489
SEKI-0472E,ingens,Wright,1.6164,0,m,36.63116,-118.34489
SEKI-0472F,ingens,Wright,0.7378,0,f,36.63116,-118.34489
SEKI-0472G,ingens,Wright,95.4003,1,f,36.63116,-118.34489
SEKI-0473A,ingens,Wright,97.9408,1,f,36.63116,-118.34489
SEKI-0473B,ingens,Wright,99.0549,1,f,36.63116,-118.34489
SEKI-0473C,ingens,Wright,0.9012,0,f,36.63116,-118.34489
SEKI-0473D,ingens,Wright,95.9732,1,m,36.63116,-118.34489
SEKI-0473E,ingens,Wright,98.3358,1,m,36.63116,-118.34489
SEKI-0473F,ingens,Wright,1.102,0,f,36.63116,-118.34489
SEKI-0473G,ingens,Wright,1.4764,0,m,36.63116,-118.34489
SEKI-0473H,ingens,Wright,2.5882,0,m,36.63116,-118.34489
SEKI-0565,ingens,Millys,0.1341,0,m,36.69039,-118.43453
SEKI-0566,ingens,Millys,96.4028,1,f,36.69039,-118.43453
SEKI-0570,ingens,Millys,98.5354,1,f,36.69039,-118.43453
SEKI-0571,ingens,Millys,89.1824,1,f,36.69039,-118.43453
SEKI-0572B,ingens,Millys,98.268,1,m,36.69039,-118.43453
SEKI-0572C,ingens,Millys,97.3689,1,f,36.69039,-118.43453
SEKI-0572D,ingens,Millys,98.0312,1,f,36.69039,-118.43453
SEKI-0572E,ingens,Millys,96.9012,1,m,36.69039,-118.43453
SEKI-0572F,ingens,Millys,1.427,0,f,36.69039,-118.43453
SEKI-0572H,ingens,Millys,0.2027,0,f,36.69039,-118.43453
SEKI-0572I,ingens,Millys,1.2392,0,f,36.69039,-118.43453
SEKI-0572J,ingens,Millys,97.1682,1,f,36.69039,-118.43453
SEKI-0572K,ingens,Millys,97.8443,1,f,36.69039,-118.43453
SEKI-0317B,ingens,NForester,98.1859,1,f,36.71056,-118.3711
SEKI-0317C,ingens,NForester,98.0876,1,f,36.71056,-118.3711
SEKI-0317E,ingens,NForester,94.8935,1,f,36.71056,-118.3711
SEKI-0317F,ingens,NForester,0.0437,0,f,36.71056,-118.3711
SDS06-225,ingens,Sphinx,97.515,1,m,36.71427,-118.51487
SDS06-230,ingens,Sphinx,2.9424,0,f,36.71427,-118.51487
SDS06-038A,ingens,Sixty,97.9146,1,f,36.82479,-118.43382
SDS06-038B,ingens,Sixty,99.2248,1,f,36.82479,-118.43382
SEKI-0172,ingens,Sixty,99.288,1,f,36.82479,-118.43382
SEKI-0989,ingens,Sixty,94.3911,1,f,36.82479,-118.43382
YMW18-151,ingens,Taboose,98.1442,1,f,36.97993,-118.39877
YMW18-152,ingens,Taboose,99.2171,1,f,36.97993,-118.39877
